B90_1,Area_1,B90_2,Area_2,B90_3,Area_3,B90_4,Area_4,B90_5,Area_5,B90_6,Area_6,B90_7,Area_7,B90_8,Area_8,B90_9,Area_9
0,100.00,0,100.00,0,100.00,0,100.00,0,100.00,0,100.00,0,100.00,0,100.00,0,100.00
5,2.43,5,91.58,5,103.42,5,115.91,5,97.48,5,96.70,5,94.02,5,116.53,5,105.78
10,4.89,10,37.26,10,100.48,10,132.82,10,93.67,10,92.63,10,93.75,10,106.59,10,102.48
15,5.05,15,7.70,15,46.90,15,97.81,15,93.95,15,84.30,15,83.50,15,80.89,15,77.36
20,5.11,20,17.32,20,14.52,20,77.58,20,72.68,20,93.67,20,95.71,20,117.31,20,109.28
25,3.61,25,5.47,25,7.31,25,13.30,25,5.66,25,86.88,25,77.57,25,91.93,25,90.73
30,2.97,30,7.50,30,22.57,30,18.03,30,5.43,30,94.41,30,94.57,30,109.79,30,98.01
35,2.41,35,2.96,35,4.93,35,5.06,35,2.98,35,28.20,35,84.30,35,111.87,35,96.99
40,13.44,40,4.01,40,7.71,40,19.47,40,7.30,40,12.46,40,27.41,40,99.10,40,87.63
45,13.90,45,4.34,45,7.49,45,12.71,45,7.65,45,9.09,45,10.87,45,14.40,45,99.35
50,1.31,50,4.09,50,6.80,50,10.72,50,7.20,50,10.74,50,16.69,50,27.29,50,94.02
55,0.74,55,3.54,55,5.29,55,8.50,55,5.81,55,7.70,55,8.10,55,13.32,55,22.39
60,1.02,60,4.07,60,5.87,60,8.46,60,6.24,60,8.00,60,7.40,60,13.42,60,12.75
65,0.76,65,3.98,65,6.18,65,8.56,65,6.18,65,7.94,65,7.53,65,12.08,65,12.54
